date,code,open,high,low,close,volume,amount,adjustflag
2015-03-16,sz.000001,9.6616293000,9.9175665000,9.5464575600,9.8599806300,221847246,3387198608.0000,2
2015-03-17,sz.000001,9.9239649300,10.1095194000,9.7576057500,9.8535822000,195984187,3020408704.0000,2
2015-03-18,sz.000001,9.8279884800,9.9687539400,9.7831994700,9.9239649300,183100067,2823982784.0000,2
2015-03-19,sz.000001,9.9047696400,9.9047696400,9.6744261600,9.7192151700,158030028,2413982128.0000,2
2015-03-20,sz.000001,9.7192151700,9.9495586500,9.6360355800,9.8023947600,197639447,3027315328.0000,2
2015-03-23,sz.000001,9.8087931900,9.9559570800,9.8087931900,9.8727774900,178205583,2750596672.0000,2
2015-03-24,sz.000001,9.8727774900,9.9751523700,9.7384104600,9.8215900500,155919347,2396553392.0000,2
2015-03-25,sz.000001,9.7768010400,9.8023947600,9.5272622700,9.5400591300,159146801,2396614000.0000,2
2015-03-26,sz.000001,9.5080669800,9.8663790600,9.4120905300,9.6680277300,148789158,2246003760.0000,2
2015-03-27,sz.000001,9.6616293000,9.7831994700,9.5080669800,9.6488324400,104763887,1577607056.0000,2
2015-03-30,sz.000001,9.7448088900,10.1990974200,9.6616293000,10.0199413800,258261368,4014724432.0000,2
2015-03-31,sz.000001,10.2630817200,10.6213938000,10.0007460900,10.0775272500,273318320,4393135104.0000,2
2015-04-01,sz.000001,10.1223162600,10.3270660200,9.9495586500,10.2118942800,164331641,2608976848.0000,2
2015-04-02,sz.000001,10.2950738700,10.3270660200,9.9943476600,10.1095194000,140583742,2222670592.0000,2
2015-04-03,sz.000001,10.0455351000,10.1990974200,9.9879492300,10.1415115500,143494132,2262844480.0000,2
2015-04-07,sz.000001,10.3334644500,10.8517372800,10.3334644500,10.7557608300,296047232,4898119424.0000,2
2015-04-08,sz.000001,10.8325419900,11.5683614400,10.6533859500,11.4659865600,337164624,5784459008.0000,2
2015-04-09,sz.000001,11.4851818500,12.1890091500,11.3444163900,11.5171740000,317306320,5794631936.0000,2
2015-04-10,sz.000001,11.5171740000,12.6688914000,11.4211975500,12.6688914000,334020976,6339648768.0000,2
2015-04-13,sz.000001,13.1644940000,13.2883951200,12.5062693000,12.8082782800,480715328,8021097216.0000,2
2015-04-14,sz.000001,12.7773030000,12.7773030000,12.4675502000,12.6224266000,247237501,4020209600.0000,2
2015-04-15,sz.000001,12.6224266000,13.3813209600,12.4675502000,12.8934603000,341764208,5746875136.0000,2
2015-04-16,sz.000001,12.6534018800,13.2419322000,12.5837075000,13.1644940000,246740721,4102824560.0000,2
2015-04-17,sz.000001,13.5516850000,13.5516850000,13.0096176000,13.1102872600,260952337,4447333120.0000,2
2015-04-20,sz.000001,13.2419322000,13.3193704000,12.5140131200,12.6224266000,344725744,5776438016.0000,2
2015-04-21,sz.000001,12.6379142400,12.9321794000,12.3746243600,12.8237659200,241593696,3943357056.0000,2
2015-04-22,sz.000001,12.8392535600,13.1490063600,12.7773030000,13.1257749000,277314176,4640335872.0000,2
2015-04-23,sz.000001,13.1490063600,13.1954692800,12.8237659200,12.9012041200,231968840,3893522080.0000,2
2015-04-24,sz.000001,12.6224266000,12.7850468200,12.3978558200,12.4985254800,244283692,3959606496.0000,2
2015-04-27,sz.000001,12.5527322200,12.8547412000,12.5449884000,12.7153524400,246056358,4027939232.0000,2
